sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
61_T	386	123	133	112	96	57	53	57	30	28	15	24	11	9	2	1	0	1
61c	163	19	19	22	28	24	19	8	6	7	10	5	2	1	2	0	0	0
62_AM21	355	21	20	19	5	5	8	16	2	6	4	4	3	3	3	2	0	0
62_T	322	42	47	33	50	37	30	27	22	31	10	20	12	8	5	1	0	1
62c	289	47	37	13	15	16	13	7	8	9	11	8	6	4	1	1	2	0
63_AM21	1176	80	107	111	105	78	83	62	65	64	47	58	37	39	20	14	1	8
63_T	49	2	1	4	6	3	6	3	3	3	4	0	2	0	0	1	1	0
63c	450	92	68	33	22	37	37	34	26	28	16	9	12	12	6	5	0	0
64_AM21	1084	90	137	106	86	100	80	78	79	69	62	39	33	25	17	8	2	1
64_T	103	4	2	4	1	7	3	7	7	4	5	3	1	1	0	0	1	0
64c	203	30	38	58	55	47	36	30	18	15	19	7	4	6	1	2	1	0
64c_repeat_1_10_dilution	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64c_repeat	658	121	179	180	162	175	105	104	66	63	50	33	29	14	7	8	0	0
65_AM21	972	64	81	63	61	62	64	49	52	47	40	45	28	24	10	12	8	1
65_T	49	3	0	2	1	1	7	3	2	2	2	2	2	0	0	0	0	0
65c	331	68	47	27	21	23	31	17	13	8	7	4	7	4	4	2	0	1
66_AM21	892	65	91	70	63	73	62	52	48	40	40	23	23	21	10	7	6	2
66_T	48	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0
66c	238	26	36	43	38	39	40	31	24	20	14	11	8	4	2	2	1	1
67_AM21	263	21	14	18	12	10	5	5	2	7	1	3	2	0	3	0	0	0
67_T	71	6	1	7	9	5	1	5	5	2	2	0	0	0	1	0	1	0
67c	300	45	39	15	7	14	16	23	23	18	17	9	6	4	7	2	0	0
68_AM21	1655	74	125	92	107	94	95	93	77	66	50	55	47	38	19	21	4	4
68_T	34	0	0	1	0	2	3	1	3	2	1	0	1	1	0	0	0	0
68c	119	6	4	14	17	11	13	9	7	5	2	6	3	2	1	0	0	0
69_AM21	981	84	105	101	109	107	83	88	81	56	49	42	20	21	13	2	2	2
69_T	61	8	5	3	1	4	5	2	2	1	3	0	0	0	1	0	0	0
69c	187	23	12	12	9	14	9	9	6	3	4	2	3	1	2	1	1	0
6_AM21	1011	48	55	47	55	59	52	63	65	53	58	32	35	25	12	8	6	8
6_MSCAII	283	60	46	22	8	12	15	15	7	3	7	7	5	7	2	0	0	1
6c	890	102	96	99	86	98	88	89	58	54	39	38	32	13	12	3	2	0
6s	704	42	73	60	96	85	97	88	75	70	67	44	36	25	12	5	0	4
70_AM21	872	56	90	88	64	62	58	54	58	51	37	41	14	10	5	5	8	3
70_T	104	3	4	2	6	7	2	9	7	4	5	1	1	1	0	2	0	0
70c	235	44	43	43	22	37	25	24	19	12	16	12	4	4	1	0	0	0
71_AM21	726	54	76	59	62	67	48	44	47	42	34	30	18	11	7	4	2	0
71_T	24	2	0	1	0	2	2	3	1	0	2	1	1	0	1	0	0	0
71c	320	44	64	44	52	28	31	29	24	21	17	19	6	5	2	10	3	0
72_AM21	1047	75	144	117	89	92	80	59	67	63	54	29	30	11	17	10	2	2
72_T	130	12	14	16	18	13	14	8	6	3	7	4	2	2	2	1	0	0
72c	137	22	19	27	34	19	18	12	13	9	8	4	7	4	0	2	0	1
73_AM21	1171	54	86	74	62	75	59	65	58	46	52	38	29	24	14	11	5	7
73_T	72	2	0	3	3	2	4	3	2	0	4	0	0	0	0	0	0	0
73c	473	97	81	40	17	27	42	32	40	31	36	23	17	7	9	3	0	1
73c_repeat	1203	321	226	109	110	129	130	119	79	82	68	57	50	30	11	6	4	3
74_AM21	1279	64	118	90	101	97	81	65	75	61	41	60	27	32	12	14	5	3
74_T	6	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0
74c	136	26	19	21	26	16	20	11	8	4	7	12	6	4	1	0	1	0
75_AM21	1295	71	140	121	124	110	100	109	81	68	60	54	37	21	10	9	4	3
75_T	25	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
75c	385	35	57	49	51	59	50	46	32	19	16	22	20	6	0	9	4	0
76_AM21	1362	59	105	89	87	86	70	58	52	67	49	39	23	31	15	10	3	4
76_T	84	2	4	3	4	10	2	4	4	2	2	2	2	0	1	1	0	2
76c	291	51	44	19	5	22	28	24	15	9	7	7	6	2	1	0	0	2
77_AM21	932	56	70	50	73	76	96	84	49	53	29	24	25	26	7	6	2	3
77_T	32	1	1	3	1	0	1	1	1	0	0	0	1	0	0	0	0	0
77c	182	31	32	46	27	23	23	16	14	14	13	11	1	2	0	2	0	0
78_AM21	990	62	93	77	59	62	57	72	68	39	40	35	28	22	16	5	6	0
78_T	131	8	9	18	9	8	9	11	8	6	3	2	4	1	5	2	1	1
78c	245	47	71	46	42	21	28	23	8	9	7	12	5	4	0	2	0	0
79_AM21	1174	51	84	64	97	92	72	58	80	64	56	63	39	27	12	17	3	1
79_T	83	2	5	2	4	7	5	7	3	1	4	1	1	2	1	0	2	0
79c	176	31	30	36	29	30	22	14	12	16	4	9	1	7	0	2	0	0
7_AM21	1069	42	62	50	77	64	75	64	53	53	32	39	25	15	13	11	1	2
7_MSCAII	350	55	44	19	14	20	22	21	9	13	15	10	6	7	0	3	0	2
7c	839	128	140	110	93	113	99	87	73	70	63	39	34	18	18	10	4	1
7s	390	17	19	21	37	32	30	39	31	28	28	29	25	28	12	7	3	2
80_AM21	1070	48	71	47	70	74	54	69	60	46	26	48	28	33	18	9	3	2
80_T	101	9	6	16	14	10	9	14	8	1	2	3	2	1	1	2	0	0
80c	184	37	38	38	25	31	21	22	22	12	16	7	5	5	3	0	0	0
